#Mass_[Msun]	x_[pc]			y_[pc]			z_[pc]			vx_[km/s]		vy_[km/s]		vz_[km/s]		Mass(t=0)_[Msun]	kw	epoch1_[Myr]	spin		R_[Rsun]	L_[Lsun]	epoch_[Myr]	Z		M_V_[mag]	V_[mag]		B-V_[mag]	T_eff_[K]	dV_[mag]	d(B-V)
0.180357	-0.9827210399848492	-0.0322402644819801	0.9463115187101805	3.1479558962097030	3.6286679282464425	-3.8318405383285490	0.180357		0	0.000000	16.270410	0.214713	0.004496	0.000000	0.020000	14.275262	29.275262	1.785867	3229.360993	0.268609	1.883269
0.638254	2.7453239398401519	5.9264815467313046	2.7641612798655739	5.2076872636261768	5.2588398786689918	-3.3675161817816934	2.087212		11	1327.661202	0.000005	0.012273	0.000011	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2994.845095	0.000000	0.000000
0.141408	-4.4068527030302835	-1.4365715498508256	7.9425070107739968	5.4760440861582387	0.7377508414004691	-6.6867337548640196	0.141408		0	0.000000	8.770102	0.178637	0.002492	0.000000	0.020000	16.031155	31.031155	1.778773	3054.779426	0.120710	-14.240319
0.123885	-18.5133649987326976	-18.9498056342309162	14.6677548478086894	-0.6326503469529728	-0.0213792683784687	0.4131071060368832	0.123885		0	0.000000	6.336051	0.159846	0.001763	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2961.612270	0.000000	0.000000
0.546334	8.4355845545008297	13.9680632285597373	11.8994610985068423	2.5513459939485434	3.7865352548384532	-4.2194248622563526	0.546334		0	0.000000	160.727128	0.514760	0.052289	0.000000	0.020000	9.536297	24.536297	1.546443	3851.559239	0.040850	0.042508
0.506066	24.5061762218107297	-15.7408383602347044	-7.5954161939081866	-1.7511325221848557	4.2139521320329143	2.3578405527460178	0.506066		0	0.000000	138.641102	0.473209	0.040788	0.000000	0.020000	9.961406	24.961406	1.586609	3775.218853	0.055413	0.019430
0.289379	-0.1168063431395227	5.0257951595477586	38.2591482961080089	-1.5596287082981595	-2.7021293160775151	0.8809731807436616	0.289379		0	0.000000	56.573244	0.296247	0.012266	0.000000	0.020000	11.905511	26.905511	1.700615	3533.363102	-0.247052	-0.742478
0.095126	-8.1727924217864309	0.6396874726430970	-2.6190152020351065	9.7552648108701909	0.0160601836258754	-1.2557805970979967	0.095126		0	0.000000	3.098167	0.136858	0.000824	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2646.457522	0.000000	0.000000
0.734596	-2.1384827045954165	1.8830673426223228	-3.6898037798532699	0.4982570642013675	2.7936496178421915	6.5576327061344699	0.734596		1	0.000000	257.042976	0.720677	0.209176	0.000000	0.020000	7.155714	22.155714	1.135787	4603.548763	0.005668	0.015812
0.093489	2.3659527769294391	-5.2411513600242383	-1.4123055981686947	-5.2443534901360254	-10.1674266746613959	3.4816377973641601	0.093489		0	0.000000	2.908858	0.137651	0.000781	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2603.509443	0.000000	0.000000
0.317878	-4.9887103799616597	17.8835723635573629	-0.6071195670531189	5.5873832231156548	-4.1899731152610622	-3.0666461584515865	0.317878		0	0.000000	72.308829	0.316326	0.014711	0.000000	0.020000	11.569390	26.569390	1.681513	3578.302195	-0.043550	0.232782
0.080161	5.8450254047869530	0.6405604517993411	3.9450620827943883	-4.8863901031611983	-1.8053637511876215	6.0514987622612786	0.080161		0	0.000000	1.663512	0.144893	0.000472	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2237.824034	0.000000	0.000000
0.109556	-1.6516650646153654	-1.9590407457255126	-3.0962297560738792	2.3320728838991669	-2.7567783796509797	3.4812444001702763	0.109556		0	0.000000	4.726906	0.142847	0.001253	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2876.839027	0.000000	0.000000
0.620227	-2.8571082589881605	0.6153162223222375	-2.1168901654814842	4.2234840288439273	3.7052092060348780	6.5953939538648330	0.620227		0	0.000000	199.928815	0.595716	0.086803	0.000000	0.020000	8.638313	23.638313	1.429927	4063.956950	-0.001733	0.034092
0.345820	-0.6617220513333982	3.6288650771205395	10.9640730635960626	5.9965985878111496	-1.3659020560830692	9.0972730604406244	0.345820		0	0.000000	89.882698	0.336407	0.017293	0.000000	0.020000	11.293455	26.293455	1.665988	3613.016976	-0.030936	-0.616654
0.270520	-1.4777955604271256	0.1189754494397783	1.2977018242154827	-5.5579442271501467	-1.8245322178160692	-2.7396919044944168	0.270520		0	0.000000	47.385200	0.282982	0.010739	0.000000	0.020000	12.169946	27.169946	1.715128	3497.047080	-0.512232	-0.777886
0.275465	-2.8243099113818899	-2.1846140494900270	0.0641579543278055	-0.9257509596913878	-7.0635757121418026	0.4602358151639654	0.275465		0	0.000000	49.700599	0.286468	0.011133	0.000000	0.020000	12.096775	27.096775	1.711187	3507.129071	-1.004314	-0.786330
0.100568	-11.6219546002675251	2.9958564456482430	-5.4628244671838253	-2.3397633645666041	-0.1901609989274776	2.7697424741483583	0.100568		0	0.000000	3.792172	0.134343	0.000976	0.000000	0.020000	9999.900000	9999.900000	9999.900000	2786.492448	0.000000	0.000000
0.521039	7.5935700581858310	5.9332377665006479	-8.2064722586144008	-1.2353841675149317	-2.8424586211325678	-1.8927012900716917	1.043288		11	10684.010550	0.000005	0.013903	0.000259	0.000000	0.020000	13.920487	28.920487	0.503530	6215.498260	-3.900235	-1.614849
